Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
A,118.1,1693,0.42312115931598077,50.0990099009901,0.2804883177532439,50.0990099009901,0.18413668154761578,50.0990099009901,0.01673344610176472,50.0990099009901,50.0990099009901
AAL,17.39,11500,-0.3883610565898259,50.0,-0.0752294652867505,50.0,0.27770095919684,50.0,0.5169635887517349,50.0,50.0
AAP,155.55,1285,0.0005181138790520629,49.9009900990099,0.05615671767446366,49.9009900990099,0.0012053443339140532,49.9009900990099,-0.017859476913306124,49.9009900990099,49.9009900990099
AAPL,127.68,1566,0.88217441751608,49.801980198019805,0.521848262476275,49.801980198019805,0.025961673717465647,49.801980198019805,0.04297231822644335,49.801980198019805,49.801980198019805
ABBV,110.28,1813,0.2858992977820953,49.7029702970297,0.16315735400364303,49.7029702970297,0.1690151071660895,49.7029702970297,0.1447101538558023,49.7029702970297,49.7029702970297
ABC,99.51,2009,0.15342804941425647,49.603960396039604,0.01384003059926722,49.603960396039604,0.034672761198265595,49.603960396039604,-0.03938901519868838,49.603960396039604,49.603960396039604
ABMD,283.13,706,0.4509522654943233,49.504950495049506,0.09014460491622955,49.504950495049506,-0.015227379980589845,49.504950495049506,-0.0012210476109076336,49.504950495049506,49.504950495049506
ABT,107.3,1863,0.28124104971175223,49.40594059405941,0.20985885977628016,49.40594059405941,0.03335440699673951,49.40594059405941,-0.06502844505612,49.40594059405941,49.40594059405941
ACN,259.4,771,0.2576320841301669,49.306930693069305,0.2138852794541346,49.306930693069305,0.06034143130151345,49.306930693069305,0.055122775908027305,49.306930693069305,49.306930693069305
ADBE,502.55,397,0.6294204175612115,49.20792079207921,0.2617523174776286,49.20792079207921,0.0006449686962595696,49.20792079207921,-0.005020183986123626,49.20792079207921,49.20792079207921
ADI,149.52,1337,0.2787383229577767,49.10891089108911,0.1719987451019228,49.10891089108911,0.23015321830994825,49.10891089108911,0.08447150734205715,49.10891089108911,49.10891089108911
ADM,51.45,3887,0.18003197088946662,49.00990099009901,0.19614304794646162,49.00990099009901,0.08798404785855994,49.00990099009901,0.044283612837065355,49.00990099009901,49.00990099009901
ADP,174.7,1144,0.05468161100733337,48.91089108910891,0.1074630396620722,48.91089108910891,0.2800719406606257,48.91089108910891,0.05166974847211401,48.91089108910891,48.91089108910891
ADSK,289.0,692,0.57549673660969,48.81188118811881,0.2086077742621705,48.81188118811881,0.20552216955414523,48.81188118811881,0.08536066551797623,48.81188118811881,48.81188118811881
AEE,81.477,2454,0.0631343738875646,48.71287128712871,0.04166855865474443,48.71287128712871,-0.009714381891024942,48.71287128712871,-0.0465557534833163,48.71287128712871,48.71287128712871
AEP,86.89,2301,-0.06310927206841455,48.613861386138616,-0.003377748408042005,48.613861386138616,0.07030069306533537,48.613861386138616,-0.07255161166579067,48.613861386138616,48.613861386138616
AES,21.22,9425,0.15701058740072255,48.51485148514851,0.5043768108413939,48.51485148514851,0.20567472280336127,48.51485148514851,0.02257503203781847,48.51485148514851,48.51485148514851
AFL,45.84,4363,-0.12744766418217615,48.415841584158414,0.13137261943368395,48.415841584158414,0.2039916279779596,48.415841584158414,0.23357568863829056,48.415841584158414,48.415841584158414
AIG,40.96,4882,-0.2043375943300738,48.31683168316832,0.1200801123461924,48.31683168316832,0.353280231901378,48.31683168316832,0.20679430790028452,48.31683168316832,48.31683168316832
AIV,43.58,4589,-0.3283602065235465,48.21782178217822,-0.1654777866010455,48.21782178217822,-0.07046193400616985,48.21782178217822,0.3166923226035273,48.21782178217822,48.21782178217822
AIZ,134.29,1489,0.019292201802034697,48.118811881188115,0.15888754337573777,48.118811881188115,0.07788157050281884,48.118811881188115,0.03943090651292656,48.118811881188115,48.118811881188115
AJG,122.0,1639,0.26866091267532777,48.01980198019802,0.17100007249729895,48.01980198019802,0.12527218625334,48.01980198019802,0.05407810082347403,48.01980198019802,48.01980198019802
AKAM,106.83,1872,0.20801266343590846,47.92079207920792,0.03916325962216211,47.92079207920792,-0.05437702135385234,47.92079207920792,0.01135347646468394,47.92079207920792,47.92079207920792
ALB,147.0,1360,1.2416900133429498,47.82178217821782,0.6884604745605089,47.82178217821782,0.4922689045987711,47.82178217821782,0.2504162169487952,47.82178217821782,47.82178217821782
ALGN,535.65,373,0.905469412797689,47.722772277227726,0.8309554026633836,47.722772277227726,0.6916028958983429,47.722772277227726,0.0875058484732847,47.722772277227726,47.722772277227726
ALK,51.53,3881,-0.2540475671416741,47.62376237623762,0.19548404396635172,47.62376237623762,0.2504583126649559,47.62376237623762,0.34437191663902517,47.62376237623762,47.62376237623762
ALL,104.76,1909,-0.05034216393590072,47.524752475247524,-0.008688539889884946,47.524752475247524,0.10854773825366869,47.524752475247524,0.14713076737019526,47.524752475247524,47.524752475247524
ALLE,112.43,1778,-0.07760212699565047,47.42574257425743,-0.02106724538412107,47.42574257425743,0.1353587690145559,47.42574257425743,0.09422060734936115,47.42574257425743,47.42574257425743
ALXN,122.39,1634,0.0442228515178621,47.32673267326733,0.03145958727206037,47.32673267326733,0.05437767729877015,47.32673267326733,-0.05188707421136243,47.32673267326733,47.32673267326733
AMAT,91.66,2181,0.6124475734090721,47.227722772277225,0.5097545973858189,47.227722772277225,0.4863262049092313,47.227722772277225,0.2787821158920241,47.227722772277225,47.227722772277225
AMCR,11.75,17021,0.13749650992957385,47.12871287128713,0.06448299127173616,47.12871287128713,0.04080766202233949,47.12871287128713,-0.005039864059302679,47.12871287128713,47.12871287128713
AMD,96.08,2081,1.4186256616863306,47.02970297029703,0.7807220335582098,47.02970297029703,0.15407779300271668,47.02970297029703,0.09582935470996717,47.02970297029703,47.02970297029703
AME,117.86,1696,0.2060793014225969,46.93069306930693,0.21928618996709526,46.93069306930693,0.18715381544941917,46.93069306930693,0.07064644705655741,46.93069306930693,46.93069306930693
